순서,리뷰
185,디자인. 기능. 성능 매우 뛰어납니다. 강추합니다.~~~
186,역시 믿고 사는 LG!!! 거를 타선이 없습니다
187,오븐 너무가지고 싶었는데 이뻐요!
188,크기가 좀 크지만 성능은 좋아요
189,스팀 전자렌지 기능을 쓰면 랩 안씌워도 돼서 편해요
190,깔끔하고 가격도 좋고 완전 만족해요! 매일매일 사용하고 있어요!
191,"좋아요 편하고
맨윗칸에 넣으라고 할땐 좀 잘 타는거같아요"
192,다양한 요리가 가능해서 좋아요
193,"전자레인지와 오래된 미니 오븐을 바꿔야 해서
다기능 제품인 광파 오븐을 선택했어요.
너무 만족스럽게 잘 사용하고 있고
매장에서 디자인을 봤지만 집에 들여놔도 넘 이뻐요.
저흰 보조주방에 두고 사용하고 있는데
존재감 뿜뿜입니다.
전자렌지 기능도 에어 프라이어도 오븐도 다 좋아요.
자동요리엔 메뉴별로 분류된 것도 편리해요.
아직 에어수비드 기능을 사용하지 않았는데
꼭 해보고 싶어요."
194,오븐 에프 전자레인지 다쓸수잇어서 돟아요 자동요리도 잇어서 냉동튀김기능 넘좋습이다
195,"집에서 음식 만들어먹는 걸 좋아하는데, 그걸 아는 주변 사람들이 엘지 광파오븐을 적극 추천해주었습니다. 찾아봤더니 정말 다양한 기능들이 있었고 발효음식까지 해낼 수 있다는 사실이 정말 놀라웠습니다. 구매 후 삼겹살, 생선으로 요리해봤더니 정말 맛있었습니다. 더 많은 엘지 광파오븐 레시피를 검색해보고 음식 요리해볼 생각을 하니 기분이 흐뭇합니다. 가전은 역시 엘지입니다!"
196,수비드도 된다고 하던데 아직 수비드용으로는 못 사용했고 에프랑 렌지용으로 사용했는데 아주 만족스러워요!
197,"여러가지 기능이 있어서 편해요
기름에 굽거나 튀길 필요도 없고 전자레인지도 스팀레인지 되서 촉촉하게 데울 수 있어요
오븐도 되고 찜기능도 유용하고요
자동요리기능도 얼마정도 데워야할지 감 안올때 사용하니까 좋았어요"
198,전자렌지 에어프라이기 오븐 기능이 한번에 있어 조아요
199,"성능이 대박이에요ㅋㅋㅋㅋ그냥 먹던 냉동식품도 광파오븐에 돌려먹으니 걍 식당에서 먹는맛이구요! 전날 먹었던 치킨, 만두 등 완전 맛있어요 그냥 최고!! 디자인도 최고에요ㅋㅋㅋ"
200,우선 디자인이 너무 예쁘고 편리하게 잘 사용 하고 있어요! 전자렌지/오븐/에어프라이어 모두 사용가능해서 좋아요~
201,에어프라이어/레인지/오븐 모든기능이 있어서 매우만족
202,새로운 기능이 추가되서 다양하게 활용할수 있어요
203,에어프라이 기능까지 있으니까 너무 좋아요
204,미니멀라이프 하고싶어서 렌지 오븐 에프까지 다되는 광파오븐으로 구매했어요 첨엔 디자인 바뀌어서 나온지 얼마안된 신형으로 구매했는데 가격때문에 고민했지만 디쟌때문에 산것도 있어요 ㅎㅎ 손잡이가 없어서 더 깔끔해보이고 큼직하니 맞춤 같네요!! 색상도 굳굳!! 성능도 아주 잘사용하고있어요~~;)
205,요리 해먹기 너무 편해요
206,전자레인지보다 좋습니다
207,"신혼집 이사하면서 벼르고 벼르던 광파오븐을 구매했어요!
왜 전자렌지랑 에어프라이어 두고 비싼 전자렌지를 사냐는 질문을 듣긴했지만,
디자인도 마음에 들고, 성능도 다양해서 기대하고 있어요!
제가 아직 다루기 미숙하긴 하지만, 잘 관리해서 사용해야겠어요."
208,아직사용을 몇번안했지만 여러가지기능이 있어서 편할거같아요
209,"오븐, 에어프라이어, 전자레인지 다양하게 사용할 수 있을 듯 합니다!"
210,"광파오븐이 오븐도 아닌 에어프라이어도 아닌 레인지역활 어느것 하나 만족스럽지않다는 후기가 있어서 구매를 망설였는데 괜한 걱정했네요...ㅎㅎ
모든 기능 다 사용해봤는데 모두 출력 좋고 요리하는데
전혀 문제 되지 않아요!
요 한가지로 여러가지방법으로 요리할수있으니
넘 편하고 좋아요 ThinQ앱에 요리레시피와
맞춤자동요리도 엄청 잘 사용하고있어요
이번에 구매한 가전들중 만족 탑3안에 들어용ㅎㅎ"
211,너무 이쁘고 좋은것같습니다.
212,"전자렌지 오븐 에어프라이 3 in 1 이예요
( 토스트, 구이,스팀)
사용도 간편하고 음식완료후 자동 열기며 냄새며 마무리까지 알아서 해주구요
그릴 석쇠 다양한 용도에 맞춰진 부속품이 있어요
아직 이것저것 해보진 못했는데 레인지나 오븐 너무 만족해요 뜨끈뜨끈 너무 맛있는요리 완성됩니다"
213,"오븐, 에어프라이기, 전자레인지 등등 기능을 한번에 사용할 수 있어서 좋아요!"
214,디자인 기능 모두 맘에 듭니다~~ 요리할 맛이 나네요~~!
215,"#이벤트참여
디자인이 깔끔하고 예뻐요
크기도 그리 크지 않고요
무엇보다 여러가지 기능이 있어서 편리합니다
집에 있는 에어프라이어기랑 오븐은 당근에 내놔야 겠네요^^
전 무엇보다 멀티클린 기능을 애용 할 거 같아요
냉동밥을 데워봤는데 골고루 빨리 데워집니다"
216,"신현으로 용량도 제일 큰 모델로 구입하길 잘했네요
전자렌지, 에어프라이어 사용 빈도가 높아서 잘 쓸 거 같습니다 . 디자인도 예쁘네요"
217,레인지 오븐 에어프라이어까지 사용이 가능해서 멀티네요!! 디자인도 너무 예뻐요.
218,공간효율성을 높이기위해 광파 오븐 선택 스팀 기능 완전 만족스러러움 다만 에프기능은 다른기종보다 온도가 낮은 느낌이라 사용시 10도 정도 더 올려 사용하면 딱입니다
219,3가지 기능을 다 할수있다는점이 넘 좋아요
220,제일 많이 구매하고 싶었던 광파오븐 최고입니다
221,"신혼가전 알아보다가 무조건 엘지다!!라고 마음먹고 근처 베스트샵에서 직접 보고 구매하게 되었습니다.

집 인테리어 공사할 때 싱크대에 미리 제품 들어갈 수 있게 사이즈 맞춰서 해놓으니 딱 맞게 들어가니 깔끔하고 좋아요~

집이 큰 편이 아니라서 가전은 무조건 보이지않게 빌트인으로 넣으려고 했고, 전자레인지, 에어프라이기 등 따로따로 갖추면 지저분해보일까바 하나로 묶여있는 광파오븐기면 다 되니까 잘 사용해보려 합니다~"
222,이거 하나면 만능이죠!! 매우 만족합니다
223,"모든요리에 맞춤형으로 잘 쓰고있습니다
사용법이 간단해서 좋아요"
224,"남편이 제일 애정하는 가전이예요.
올리모델링을해서 냄새나는 생선같은 음식 해먹는거 꺼려졌는데, 연기나 냄새 적고 사용후에는 살균이나 냄새도 빼는 청소기능이 있어 편해요 👍
토스트기, 에어프라이기, 전자레인지 다 따로두고 썼었는데 이 제품사고나서 다 치웠습니다 ㅎ
손잡이 매립형이라 툭 튀어나와 거슬리는거없이 예뻐요"
225,"기능이 많아서 좋아요
덕분에 남편이 요리사가 됐습니다"
226,"이왕이면 최신 모델로 샀어요!! 디자인도 넘 예쁘네요.
여러 기능이 하나로 가능해서 활용도가 높아요!!"
227,아직 수납함을 못사서 바닥에 두고 쓰지만 너무 잘 쓰고 있습니다~
228,좋아요 엄청 편하고
229,에어 수비드가 된다고 해서 구매했는대 만족스러워요 ㅎ
230,"오븐, 에어프라이어, 전자레인지 3가지를 하나로 사용할 수 있는 점이 좋고! 직관적인 메뉴얼로 사용하기에도 다이얼 돌리기만 해서 편해요! 벌써 등갈비 통삼겹 등등 해봤는데 너무 좋습니다!"
231,"전자레인지 오븐 에어프라이어 다되는 기능으로 사서 자리공간도 효율적이고 다만 크기가 커서 넣구싶은 자리에 못놓아서 살짝 아쉬었지만 만족하고 써볼려구요:)
스팀기능 있다고 해서 이것때문에 솔깃해서 한번
요리해볼려구요 :)"
232,"아내가 요리를 좋아해서 오븐이 꼭 필요했는데 광파오븐은 오븐, 레인지, 에어프라이 다 되니 너무 편한 것 같습니다."
233,맛있는 요리를 만들 수 있어 좋아용
234,"요알못도 요잘알 만들어주는 마법의 제품.
나도 이제 탑쉐프! 👍"
235,"한참을 고민하다가 샀는데 너무 좋아요
역시 가전은 엘지"
236,아주 잘 작동 됩니다.
237,너무 이쁘고 좋아요 ~ 광파오븐 고민하신다면 무조건 사세요!
238,"결혼 6년만에 이사하면서,
LG 가전들로 싹~ 구매했어요!

저는 가전제품 구매시,
LG가전의 디자인, 색, 제품성능에 너~~~~~무너무!!!
반해서 타 브랜드와 견적비교도 안하고 바로 질렀답니다.
역시 쓰다보니 더욱 더 만족스럽고요!!!
이래서 다들 가전은 LG로 사야한다고 하나봐요
LG ThinQ app도 너무 편하고 좋아요😄😄😄😍😍😍"
239,"구매할지말지 고민했었는데 여러기능을 하나도 합치니
공간도 아낄 수 있고 각각 제 기능을 발휘하기에도
충분합니다! 탈취랑 스팀청소기능 좋아요"
240,"가전제품을 구매하면서 가전은 엘지다 생각하고 구매했습니다. 성능, 디자인, 사용법 전체적으로 매우 만족합니다."
241,"다양한 요리를 구현해보고자 고민끝에 구입하게 되었습니다. 오브제라 색상, 디자인 아름답고요. 음식도 훌륭하게 조리되고 lcd창에 요리종류, 시간이 표시되어 시인성이 뛰어나고 다이얼 돌리기, 터치로 동작되니 사용법이 간단합니다. 요리 후 멀티클린기능(스팀청소, 탈취, 조리실 건조 등)까지 되니 오랫동안 깨끗하게 사용할 수 있을 것 같습니다. 오븐요리로 할 수 있는 요리(시중에 오븐요리 책도 많아요)가 매우 많다보니 매일 사용하고 싶어집니다. 구매 전 고민을 엄청 했는데, 정말 사길 잘했다싶고 지인들에게 추천 꼭 해주고 싶습니다. 민물장어로 덮밥까지 하게되니 외식이 줄어들게 되네요!"
242,적은 양 조리할 땐 에프가 약한 느낌이 있는데 아무래도 오븐이 커서 그런 거겠죠? 그거 말고는 다 좋아요 가격만이 단점이네요~
243,결혼 선물로 받았어요. 아직 많은 기능을 사용해보진 못했지만 커서 요리하기 편한 것 같아요!
244,"오븐을 처음 써보는지라 어려울까 했는데 사용하기 쉬워요
색깔도 맘에듭니다"
245,정말 좋아요 추천합니다!
246,"2일만에 왔어요 너무좋아요
찜기능 다르네요
스팀팍팍"
247,맛있는 음식을 손쉽게만들수 있어요
248,사용하기 편하고 좋아요~^^
249,초반에는 냄새가 좀 나요. 몇 번 사용하면 괜찮아질 것 같네요. 전자레인지 기능 출력이 강한 편인 것 같아요. 같은 시간 데웠을 때 일반전자레인지보다 잘 데워지는 느낌이에요.
250,"일단 간편합니다. 청소도 자동으로 되고 탈취 기능까지 요리가 엄청 쉬워집니다
그리고 공간 활용도 좋습니다.
에프,전자레인지,오븐 각각 놓게되면 자리도 많이 차지하는데 하나로 다쓸수 있으니 좋습니다
물론 성능도 좋구요"
251,예쁘고 활용도가 좋아욥
252,오븐 전자렌지 기능 다양한 음식 조리가 가능해서 좋아요~
253,이사겸 가전을 구매하였고 전자레인지 에어프라이어 기능을 다 갖추고 있어 요리못하는 초보자들도 쉽게 요리 할수 있는점이 좋아요
254,디자인도 예쁘고 성능이 다양해서 사용하기 편해요!
255,"싱크대 바꾸면서 기존에 오븐 떼어내 버리고 디자인이쁜거 찾고있다가 너무이뻐서 구매했어요,
씽크대가 흰색인데 포인트 줄려고 베이지로 할까하다가 엄청고민했는데
흰색하길정말잘한거같아용!!!!!!"
256,"결혼하며 신혼집에 전자레인지, 에어프라이어, 오븐 하나하나 다사여하나 하다가 구매한 제품인데 하나러 통합되어있고 기능이 여러가지라 너무 만족하며 사용중입니다~"
257,종류도 많고 잘작동해서 싸이즈는 좀커요
258,전자레인지를 처분하면서 새로나온 광파오븐을 사봤는데 진짜 같은공간에 여러제품을 합쳐놓은셈이라 효율적이고 만족스럽네요
259,"클린기능이 좋네요
화이트패널 오븐이 나오길 기다렸는데
마침 신제품이 나와서 쿨톤인 저희집에 어울립니다"
260,"스테이크 오징어 구어먹어봤는데 너어어무 맛있게 잘 익었습니다~
조금 크지만 대대대만족!!"
261,LG 광파오븐의 장점은 역시 다양한 기능이 총 망라된 제품이였습니다. 디자인도 좋고 다양한 레시피를 이용할 수 있어서 좋습니다~
262,"배송빠르고 디자인도 이쁘네요
동작도 잘하고 삼성만 쓰다가 엘지는 첨인데
확실히 디자인가전이네요"
263,매일매일 요긴하게 잘 쓰고있어요!!
264,내부 세척도 쉽고 다이얼도 직관적이라 편하구 어플로 미리 골라놓고 재료만 넣으면 돼서 편해요 너무 좋아요 맨날 쓰는중~
265,신혼으로 구매했는데 배송 삐르고 좋아요
266,광파오븐이 기능이 여러개라 너무 좋아요 감사합니다
267,완전 신세계 한 기계에 기능이 다 몰아져 있어서 공간활용에도 좋고 요리도 다 가능해서 편리해서 좋네오
268,"주문하고 다음날 아침 7시반쯤 오셔서 설치해주셨어요 ㅎㅎ
기능 많고 성능도 훌륭하네요~!
거의 모든 기능 사용했는데, 스팀(찜기)가 살짝 약한거 말고는
전체적으로 맛있는 요리가 완성됩니다~!"
